observation_id,object_name,center_ra,center_dec,roll_angle,observation_start_time,observation_end_time,resolve_exposure,xtend_exposure,processing_date,public_date,distribution_date,processing_version,data_access_url
300042020,SS_CYGNI,325.67751,43.58596,76.86924,"2024-05-14 23:58:04","2024-05-18 07:10:04",158.798,291.419,"2024-05-22 09:24:28","2099-12-31 00:00:00","2024-05-23 09:24:28",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300042020/
300068010,M82,148.96941,69.67956,286.83353,"2024-05-12 00:05:04","2024-05-14 23:58:04",223.180,168.879,"2024-05-22 09:15:18","2099-12-31 00:00:00","2024-05-23 09:15:19",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300068010/
300018010,M81,148.89023,69.06487,286.83671,"2024-05-08 08:43:04","2024-05-12 00:05:04",268.779,239.292,"2024-05-18 11:47:45","2099-12-31 00:00:00","2024-05-19 11:47:46",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300018010/
300056010,W49B_West,287.77938,9.11004,67.99979,"2024-04-30 22:58:04","2024-05-08 08:43:04",323.191,274.961,"2024-05-17 18:20:38","2099-12-31 00:00:00","2024-05-18 18:20:39",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300056010/
300055010,W49B_East,287.79356,9.09746,67.99998,"2024-04-23 01:42:04","2024-04-30 22:58:04",332.527,272.648,"2024-05-14 04:55:00","2099-12-31 00:00:00","2024-05-15 04:55:01",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300055010/
100009140,Cyg_X-2_6p0_270,326.19015,38.42065,97.99888,"2024-04-22 20:39:04","2024-04-23 01:42:04",8.050,9.900,"2024-05-03 03:16:09","2099-12-31 00:00:00","2024-05-04 03:16:09",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009140/
100009130,Cyg_X-2_4p5_270,326.18557,38.39637,97.99948,"2024-04-22 17:27:04","2024-04-22 20:39:04",7.676,6.934,"2024-05-03 03:17:16","2099-12-31 00:00:00","2024-05-04 03:17:16",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009130/
100009120,Cyg_X-2_3p0_270,326.18113,38.37132,98.00004,"2024-04-22 14:15:04","2024-04-22 17:27:04",7.614,6.340,"2024-05-01 08:03:24","2099-12-31 00:00:00","2024-05-02 08:03:25",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009120/
100009110,Cyg_X-2_1p8_270,326.17789,38.35167,97.99977,"2024-04-22 06:27:04","2024-04-22 14:15:04",13.566,9.168,"2024-05-01 08:34:31","2099-12-31 00:00:00","2024-05-02 08:34:31",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009110/
100009100,Cyg_X-2_6p0_315,326.27453,38.38189,97.99907,"2024-04-22 01:32:04","2024-04-22 06:27:04",6.863,6.714,"2024-05-01 07:39:19","2099-12-31 00:00:00","2024-05-02 07:39:19",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009100/
100009090,Cyg_X-2_4p5_315,326.24898,38.36689,97.999,"2024-04-21 22:17:04","2024-04-22 01:32:04",7.764,6.497,"2024-05-01 07:05:10","2099-12-31 00:00:00","2024-05-02 07:05:11",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009090/
100009080,Cyg_X-2_3p0_315,326.22317,38.35188,97.99954,"2024-04-21 19:05:04","2024-04-21 22:17:04",0.835,7.026,"2024-04-30 10:57:12","2099-12-31 00:00:00","2024-05-01 10:57:12",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009080/
100009070,Cyg_X-2_3p0_225,326.13407,38.36187,98.0002,"2024-04-21 15:53:04","2024-04-21 19:05:04",7.873,7.025,"2024-04-30 11:32:31","2099-12-31 00:00:00","2024-05-01 11:32:32",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009070/
100009060,Cyg_X-2_3p0_135,326.12183,38.29173,97.99965,"2024-04-21 08:11:04","2024-04-21 15:53:04",10.221,9.940,"2024-04-30 11:44:39","2099-12-31 00:00:00","2024-05-01 11:44:39",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009060/
100009050,Cyg_X-2_3p0_45,326.21123,38.28186,97.99915,"2024-04-21 03:18:04","2024-04-21 08:11:04",3.880,5.790,"2024-04-30 11:26:25","2099-12-31 00:00:00","2024-05-01 11:26:25",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009050/
100009040,Cyg_X-2_1p8_315,326.20292,38.33973,97.99946,"2024-04-20 23:54:04","2024-04-21 03:18:04",7.505,5.630,"2024-04-30 06:36:12","2099-12-31 00:00:00","2024-05-01 06:36:12",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009040/
100009030,Cyg_X-2_1p8_225,326.1495,38.34599,97.99972,"2024-04-20 20:42:04","2024-04-20 23:54:04",8.038,7.139,"2024-04-30 06:37:18","2099-12-31 00:00:00","2024-05-01 06:37:18",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009030/
100009020,Cyg_X-2_1p8_135,326.14225,38.30401,97.99947,"2024-04-20 17:29:04","2024-04-20 20:42:04",8.072,7.153,"2024-04-29 05:53:30","2099-12-31 00:00:00","2024-04-30 05:53:31",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009020/
100009010,Cyg_X-2_1p8_45,326.19472,38.29745,97.99885,"2024-04-20 09:04:04","2024-04-20 17:29:04",16.492,12.016,"2024-04-29 06:04:38","2099-12-31 00:00:00","2024-04-30 06:04:38",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100009010/
100008020,Cygnus_Loop,312.70478,31.89017,88.01651,"2024-04-19 06:00:04","2024-04-20 09:04:04",50.659,78.222,"2024-04-27 11:56:31","2099-12-31 00:00:00","2024-04-28 11:56:31",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100008020/
100008010,Cygnus_Loop,312.70472,31.89003,87.99898,"2024-04-18 06:26:04","2024-04-19 06:00:04",49.086,37.910,"2024-04-27 11:18:17","2099-12-31 00:00:00","2024-04-28 11:18:18",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100008010/
300039010,4U1916-053,289.69838,-5.23805,79.97322,"2024-04-15 10:32:04","2024-04-18 06:26:04",111.662,194.131,"2024-04-27 12:24:46","2099-12-31 00:00:00","2024-04-28 12:24:47",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300039010/
300041010,SS433,287.95612,4.98315,80.53479,"2024-04-10 13:41:04","2024-04-15 10:32:04",204.004,184.122,"2024-04-23 17:59:05","2099-12-31 00:00:00","2024-04-24 17:59:05",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300041010/
300049010,CYGNUS_X-1,299.58968,35.20116,89.7827,"2024-04-07 16:55:04","2024-04-10 13:41:04",126.219,135.534,"2024-04-22 16:25:19","2099-12-31 00:00:00","2024-04-23 16:25:20",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300049010/
300013030,3C397,286.91107,7.12972,103.00106,"2024-04-05 07:17:04","2024-04-07 16:55:04",98.340,94.405,"2024-04-22 15:35:00","2099-12-31 00:00:00","2024-04-23 15:35:00",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300013030/
300040020,4U1624-490,247.01035,-49.19849,115.99714,"2024-04-04 04:06:04","2024-04-05 07:17:04",57.117,108.622,"2024-04-22 14:43:49","2099-12-31 00:00:00","2024-04-23 14:43:50",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300040020/
300013020,3C397,286.91121,7.12974,103.00103,"2024-03-31 02:35:04","2024-04-04 04:06:04",181.285,175.898,"2024-04-22 19:09:28","2099-12-31 00:00:00","2024-04-23 19:09:28",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300013020/
300040010,4U1624-490,247.01205,-49.19808,126.997,"2024-03-29 23:07:04","2024-03-31 02:35:04",74.578,124.216,"2024-04-22 11:34:22","2099-12-31 00:00:00","2024-04-23 11:34:23",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300040010/
300013010,3C397,286.91133,7.12976,103.00104,"2024-03-25 16:34:04","2024-03-29 23:07:04",203.306,195.233,"2024-04-22 17:01:48","2099-12-31 00:00:00","2024-04-23 17:01:48",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300013010/
300065010,Cyg_X-3,308.10708,40.95864,112.25882,"2024-03-24 06:04:04","2024-03-25 16:34:04",62.224,72.893,"2024-04-22 10:50:56","2099-12-31 00:00:00","2024-04-23 10:50:56",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300065010/
300063010,Tycho_S,6.33423,64.08731,183.69221,"2024-03-23 05:21:04","2024-03-24 06:04:04",49.267,49.870,"2024-04-22 09:41:24","2099-12-31 00:00:00","2024-04-23 09:41:24",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300063010/
300062010,Tycho_N,6.33431,64.19053,184.8733,"2024-03-22 03:29:04","2024-03-23 05:21:04",47.741,50.354,"2024-04-19 09:23:06","2099-12-31 00:00:00","2024-04-20 09:23:07",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300062010/
100007020,Crab_stray_weak,82.59063,21.75217,241.89054,"2024-03-20 14:57:04","2024-03-22 03:29:04",64.423,51.418,"2024-04-19 12:53:45","2099-12-31 00:00:00","2024-04-20 12:53:45",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100007020/
100007010,Crab_stray_strong,82.5906,21.75153,293.31136,"2024-03-20 10:10:04","2024-03-20 14:57:04",7.737,9.953,"2024-04-19 08:48:20","2099-12-31 00:00:00","2024-04-20 08:48:20",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100007010/
100006050,Crab_SWoffset,83.6203,22.00251,269.99998,"2024-03-20 04:39:04","2024-03-20 10:10:04",13.102,11.991,"2024-04-19 03:23:00","2099-12-31 00:00:00","2024-04-20 03:23:01",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100006050/
100006040,Crab_SEoffset,83.64819,22.00182,270.00225,"2024-03-19 18:11:04","2024-03-20 04:39:04",13.289,11.520,"2024-04-19 04:50:38","2099-12-31 00:00:00","2024-04-20 04:50:38",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100006040/
100006030,Crab_NWoffset,83.62066,22.02802,270.00059,"2024-03-19 11:46:04","2024-03-19 18:11:04",7.989,11.236,"2024-04-16 23:47:04","2099-12-31 00:00:00","2024-04-03 15:20:55",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100006030/
100006020,Crab_NEoffset_1,83.6479,22.02734,270.00172,"2024-03-19 03:46:04","2024-03-19 11:46:04",12.031,16.280,"2024-04-19 03:50:22","2099-12-31 00:00:00","2024-04-20 03:50:22",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100006020/
100006010,Crab_NEoffset_2,83.66076,22.04336,270.00189,"2024-03-18 13:31:04","2024-03-19 03:46:04",19.813,18.633,"2024-04-19 03:33:46","2099-12-31 00:00:00","2024-04-20 03:33:46",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100006010/
100001010,G21.5-0.9,278.38936,-10.56832,104.00109,"2024-03-17 01:52:04","2024-03-18 13:31:04",64.692,57.929,"2024-04-19 05:31:28","2099-12-31 00:00:00","2024-04-20 05:31:28",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100001010/
300072010,PDS456,262.08175,-14.26541,92.97208,"2024-03-10 23:35:04","2024-03-17 01:52:04",262.100,223.864,"2024-04-19 16:00:08","2099-12-31 00:00:00","2024-04-20 16:00:08",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300072010/
100011012,HR,54.19738,0.58763,264.66644,"2024-03-09 19:31:04","2024-03-10 23:35:04",47.477,43.006,"2024-04-19 15:14:23","2099-12-31 00:00:00","2024-04-20 15:14:24",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100011012/
100011011,HR,54.19757,0.5876,264.66607,"2024-03-07 13:01:04","2024-03-09 19:31:04",207.841,102.671,"2024-04-19 19:33:49","2099-12-31 00:00:00","2024-04-20 19:33:49",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100011011/
100011010,HR,54.19747,0.58757,264.66588,"2024-03-06 00:27:04","2024-03-07 13:01:04",69.272,68.755,"2024-04-17 02:54:37","2099-12-31 00:00:00","2024-04-04 00:31:26",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100011010/
300060010,Tycho_Center,6.33388,64.13847,219.35997,"2024-03-02 08:51:04","2024-03-06 00:27:04",181.106,169.086,"2024-04-19 18:39:03","2099-12-31 00:00:00","2024-04-20 18:39:03",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300060010/
300045010,Galactic_Center_2,266.55713,-28.88941,80.00106,"2024-02-29 10:01:04","2024-03-02 08:51:04",74.627,63.257,"2024-04-17 06:14:44","2099-12-31 00:00:00","2024-03-14 12:27:56",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300045010/
300044010,Galactic_Center_1,266.42149,-28.99699,89.58787,"2024-02-26 00:41:04","2024-02-29 10:01:04",126.811,107.880,"2024-04-19 15:37:24","2099-12-31 00:00:00","2024-03-14 13:43:56",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300044010/
300036010,GX13+1,273.63052,-17.15668,91.39026,"2024-02-25 01:11:04","2024-02-26 00:41:04",36.316,57.778,"2024-04-19 07:08:46","2099-12-31 00:00:00","2024-03-10 11:27:59",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300036010/
300075010,NGC1365,53.40257,-36.1399,268.77822,"2024-02-20 12:23:04","2024-02-25 01:11:04",213.074,354.546,"2024-04-19 08:28:31","2099-12-31 00:00:00","2024-03-07 15:48:48",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300075010/
100010010,1E0102.2-7219,16.00975,-72.03121,312.83833,"2024-02-19 12:24:04","2024-02-20 12:23:04",41.057,69.645,"2024-04-19 06:15:45","2099-12-31 00:00:00","2024-03-08 11:01:01",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/1/100010010/
300080010,SN1006,225.56502,-41.98188,109.00052,"2024-02-18 13:34:04","2024-02-19 12:24:04",43.499,38.069,"2024-04-20 04:42:25","2099-12-31 00:00:00","2024-02-28 23:17:26",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300080010/
300005010,Kepler_SNR,262.66411,-21.48209,90.00056,"2024-02-17 05:35:04","2024-02-18 13:34:04",55.274,46.305,"2024-04-19 11:17:20","2099-12-31 00:00:00","2024-03-01 03:03:27",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300005010/
900001010,4U1630-472,248.50661,-47.3929,91.78994,"2024-02-16 00:51:04","2024-02-17 05:35:04",52.700,54.034,"2024-04-20 05:08:07","2099-12-31 00:00:00","2024-02-22 13:20:22",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/9/900001010/
300028010,Circinus_X-1,230.17057,-57.16647,103.99338,"2024-02-15 06:19:04","2024-02-16 00:51:04",34.878,54.256,"2024-04-20 02:28:47","2099-12-31 00:00:00","2024-02-21 19:30:30",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300028010/
300003010,Cen_X-3,170.31269,-60.62389,156.79982,"2024-02-12 23:56:04","2024-02-15 06:19:04",169.134,308.278,"2024-04-17 05:53:27","2099-12-31 00:00:00","2024-02-21 23:55:29",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/3/300003010/
000162000,Circinus_Galaxy,213.29011,-65.33928,114.47734,"2024-02-08 11:18:04","2024-02-12 23:56:04",321.137,593.574,"2024-04-20 09:24:05","2099-12-31 00:00:00","2024-03-04 02:22:31",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/0/000162000/
000161000,MCG-6-30-15,203.97365,-34.29511,118.12164,"2024-02-05 22:44:04","2024-02-08 11:18:04",130.506,237.370,"2024-04-22 19:43:53","2099-12-31 00:00:00","2024-03-02 15:55:42",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/0/000161000/
000160000,Tycho_NW,6.23264,64.16759,226.36684,"2024-02-02 08:17:04","2024-02-05 22:44:04",212.908,194.541,"2024-04-17 05:43:20","2099-12-31 00:00:00","2024-02-18 11:50:08",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/0/000160000/
000159000,V834_Cen,212.27978,-45.28775,110.1644,"2024-01-29 17:00:04","2024-02-02 08:17:04",183.949,265.560,"2024-04-20 02:34:06","2099-12-31 00:00:00","2024-02-15 13:13:08",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/0/000159000/
000158000,Perseus_O1,49.76693,41.57609,262.87788,"2024-01-26 21:10:04","2024-01-29 17:00:04",137.894,117.853,"2024-04-20 06:49:59","2099-12-31 00:00:00","2024-02-09 13:54:19",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/0/000158000/
000157000,Perseus_M1,49.82903,41.55406,262.87754,"2024-01-24 16:56:04","2024-01-26 21:10:04",98.698,88.997,"2024-04-19 04:24:58","2099-12-31 00:00:00","2024-02-09 13:25:13",03.00.011.008,https://data.darts.isas.jaxa.jp/pub/xrism/data/obs/rev3/0/000157000/
